breakout_atr_mult,min_confluence,min_touches,min_token_rsi,retest_ttl_hours,max_hold_days,major_only,tp_cascade,min_rr,cascade_skipped,n_published,n_filled,fill_rate_pct,win_rate_pct,avg_win_pct,avg_loss_pct,avg_pnl_filled_pct,expectancy_per_signal_pct,score,n_tp,n_sl,n_timeout
2.0,0.0,3,55.0,168,14,True,False,2.0,0,19,4,21.05,75.0,4.571,-4.822,2.223,0.468,0.936,3,1,0
2.0,0.0,3,55.0,168,21,True,False,2.0,0,19,4,21.05,75.0,4.571,-4.822,2.223,0.468,0.936,3,1,0
2.0,0.0,3,55.0,168,30,True,False,2.0,0,19,4,21.05,75.0,4.571,-4.822,2.223,0.468,0.936,3,1,0
2.0,50.0,0,0.0,168,14,True,False,2.0,0,19,4,21.05,75.0,4.571,-4.822,2.223,0.468,0.936,3,1,0
2.0,50.0,0,0.0,168,21,True,False,2.0,0,19,4,21.05,75.0,4.571,-4.822,2.223,0.468,0.936,3,1,0
2.0,50.0,0,0.0,168,30,True,False,2.0,0,19,4,21.05,75.0,4.571,-4.822,2.223,0.468,0.936,3,1,0
2.0,50.0,0,55.0,168,14,True,False,2.0,0,19,4,21.05,75.0,4.571,-4.822,2.223,0.468,0.936,3,1,0
2.0,50.0,0,55.0,168,21,True,False,2.0,0,19,4,21.05,75.0,4.571,-4.822,2.223,0.468,0.936,3,1,0
2.0,50.0,0,55.0,168,30,True,False,2.0,0,19,4,21.05,75.0,4.571,-4.822,2.223,0.468,0.936,3,1,0
1.0,0.0,0,55.0,168,7,True,False,2.0,0,110,54,49.09,50.0,5.818,-4.2,0.809,0.397,2.918,21,21,9
1.0,0.0,3,55.0,168,7,True,False,2.0,0,110,54,49.09,50.0,5.818,-4.2,0.809,0.397,2.918,21,21,9
1.0,50.0,0,55.0,168,7,True,False,2.0,0,110,54,49.09,50.0,5.818,-4.2,0.809,0.397,2.918,21,21,9
1.0,0.0,0,55.0,168,21,True,False,2.0,0,110,54,49.09,48.15,6.906,-4.88,0.795,0.39,2.867,25,26,0
1.0,0.0,0,55.0,168,30,True,False,2.0,0,110,54,49.09,48.15,6.906,-4.88,0.795,0.39,2.867,25,26,0
1.0,0.0,3,55.0,168,21,True,False,2.0,0,110,54,49.09,48.15,6.906,-4.88,0.795,0.39,2.867,25,26,0
1.0,0.0,3,55.0,168,30,True,False,2.0,0,110,54,49.09,48.15,6.906,-4.88,0.795,0.39,2.867,25,26,0
1.0,50.0,0,55.0,168,21,True,False,2.0,0,110,54,49.09,48.15,6.906,-4.88,0.795,0.39,2.867,25,26,0
1.0,50.0,0,55.0,168,30,True,False,2.0,0,110,54,49.09,48.15,6.906,-4.88,0.795,0.39,2.867,25,26,0
2.0,50.0,3,0.0,168,7,True,False,2.0,0,13,3,23.08,66.67,4.676,-4.605,1.582,0.365,0.632,2,1,0
2.0,50.0,3,0.0,168,14,True,False,2.0,0,13,3,23.08,66.67,4.676,-4.605,1.582,0.365,0.632,2,1,0
2.0,50.0,3,0.0,168,21,True,False,2.0,0,13,3,23.08,66.67,4.676,-4.605,1.582,0.365,0.632,2,1,0
2.0,50.0,3,0.0,168,30,True,False,2.0,0,13,3,23.08,66.67,4.676,-4.605,1.582,0.365,0.632,2,1,0
2.0,50.0,3,55.0,168,7,True,False,2.0,0,13,3,23.08,66.67,4.676,-4.605,1.582,0.365,0.632,2,1,0
2.0,50.0,3,55.0,168,14,True,False,2.0,0,13,3,23.08,66.67,4.676,-4.605,1.582,0.365,0.632,2,1,0
2.0,50.0,3,55.0,168,21,True,False,2.0,0,13,3,23.08,66.67,4.676,-4.605,1.582,0.365,0.632,2,1,0
2.0,50.0,3,55.0,168,30,True,False,2.0,0,13,3,23.08,66.67,4.676,-4.605,1.582,0.365,0.632,2,1,0
2.0,0.0,0,0.0,168,14,False,False,2.0,0,26,4,15.38,75.0,4.571,-4.822,2.223,0.342,0.684,3,1,0
2.0,0.0,0,0.0,168,21,False,False,2.0,0,26,4,15.38,75.0,4.571,-4.822,2.223,0.342,0.684,3,1,0
2.0,0.0,0,0.0,168,30,False,False,2.0,0,26,4,15.38,75.0,4.571,-4.822,2.223,0.342,0.684,3,1,0
2.0,0.0,0,55.0,168,14,False,False,2.0,0,26,4,15.38,75.0,4.571,-4.822,2.223,0.342,0.684,3,1,0
2.0,0.0,0,55.0,168,21,False,False,2.0,0,26,4,15.38,75.0,4.571,-4.822,2.223,0.342,0.684,3,1,0
2.0,0.0,0,55.0,168,30,False,False,2.0,0,26,4,15.38,75.0,4.571,-4.822,2.223,0.342,0.684,3,1,0
2.0,0.0,3,0.0,168,14,False,False,2.0,0,26,4,15.38,75.0,4.571,-4.822,2.223,0.342,0.684,3,1,0
2.0,0.0,3,0.0,168,21,False,False,2.0,0,26,4,15.38,75.0,4.571,-4.822,2.223,0.342,0.684,3,1,0
2.0,0.0,3,0.0,168,30,False,False,2.0,0,26,4,15.38,75.0,4.571,-4.822,2.223,0.342,0.684,3,1,0
2.0,0.0,3,55.0,168,14,False,False,2.0,0,26,4,15.38,75.0,4.571,-4.822,2.223,0.342,0.684,3,1,0
2.0,0.0,3,55.0,168,21,False,False,2.0,0,26,4,15.38,75.0,4.571,-4.822,2.223,0.342,0.684,3,1,0
2.0,0.0,3,55.0,168,30,False,False,2.0,0,26,4,15.38,75.0,4.571,-4.822,2.223,0.342,0.684,3,1,0
2.0,50.0,0,0.0,168,14,False,False,2.0,0,26,4,15.38,75.0,4.571,-4.822,2.223,0.342,0.684,3,1,0
2.0,50.0,0,0.0,168,21,False,False,2.0,0,26,4,15.38,75.0,4.571,-4.822,2.223,0.342,0.684,3,1,0
2.0,50.0,0,0.0,168,30,False,False,2.0,0,26,4,15.38,75.0,4.571,-4.822,2.223,0.342,0.684,3,1,0
2.0,50.0,0,55.0,168,14,False,False,2.0,0,26,4,15.38,75.0,4.571,-4.822,2.223,0.342,0.684,3,1,0
2.0,50.0,0,55.0,168,21,False,False,2.0,0,26,4,15.38,75.0,4.571,-4.822,2.223,0.342,0.684,3,1,0
2.0,50.0,0,55.0,168,30,False,False,2.0,0,26,4,15.38,75.0,4.571,-4.822,2.223,0.342,0.684,3,1,0
1.0,0.0,0,0.0,168,21,True,False,2.0,0,116,56,48.28,48.21,6.795,-4.979,0.698,0.337,2.522,26,27,0
1.0,0.0,0,0.0,168,30,True,False,2.0,0,116,56,48.28,48.21,6.795,-4.979,0.698,0.337,2.522,26,27,0
1.0,0.0,3,0.0,168,21,True,False,2.0,0,116,56,48.28,48.21,6.795,-4.979,0.698,0.337,2.522,26,27,0
1.0,0.0,3,0.0,168,30,True,False,2.0,0,116,56,48.28,48.21,6.795,-4.979,0.698,0.337,2.522,26,27,0
1.0,50.0,0,0.0,168,21,True,False,2.0,0,116,56,48.28,48.21,6.795,-4.979,0.698,0.337,2.522,26,27,0
1.0,50.0,0,0.0,168,30,True,False,2.0,0,116,56,48.28,48.21,6.795,-4.979,0.698,0.337,2.522,26,27,0
1.0,0.0,0,0.0,168,7,False,False,2.0,0,146,69,47.26,47.83,6.209,-4.335,0.708,0.335,2.779,27,28,12
1.0,0.0,3,0.0,168,7,False,False,2.0,0,146,69,47.26,47.83,6.209,-4.335,0.708,0.335,2.779,27,28,12
1.0,50.0,0,0.0,168,7,False,False,2.0,0,146,69,47.26,47.83,6.209,-4.335,0.708,0.335,2.779,27,28,12
2.0,50.0,3,0.0,168,7,False,False,2.0,0,15,3,20.0,66.67,4.676,-4.605,1.582,0.316,0.548,2,1,0
