symbol,entry_ts,exit_ts,entry_price,exit_price,take_profit,stop_loss,raw_rr,rsi_at_entry,exit_reason,hold_hours,pnl_pct,pnl_usd,size_usd
TRX,2025-04-11 17:00:00+00:00,2025-04-13 18:00:00+00:00,0.2414,0.254,0.254,0.227,0.89,60.067993448509874,TP,49,5.219552609776304,5217.986743993371,99970.0
PAXG,2025-04-17 14:00:00+00:00,2025-04-21 00:00:00+00:00,3336.0,3380.0,3380.0,3235.0,0.44,69.63397118000682,TP,82,1.3189448441247003,1386.5392297452324,105124.8834188658
STX,2025-04-22 05:00:00+00:00,2025-04-29 05:00:00+00:00,0.748,0.848,0.95,0.634,1.75,74.36588970143443,TIMEOUT,168,13.36898395721925,14230.95259104945,106447.5253810499
FLOKI,2025-04-29 06:00:00+00:00,2025-05-04 08:00:00+00:00,8.441e-05,7.66e-05,0.0001003,7.66e-05,2.03,73.52647009509792,SL,122,-9.25245823954507,-11159.027347935316,120606.0817463791
LTC,2025-05-07 00:00:00+00:00,2025-05-09 07:00:00+00:00,91.6,96.5,96.5,81.5,0.49,66.22407487067751,TP,55,5.349344978165945,5851.18821483182,109381.39601603961
SHIB,2025-05-10 07:00:00+00:00,2025-05-17 01:00:00+00:00,1.598e-05,1.42e-05,1.89e-05,1.42e-05,1.63,79.62690447958056,SL,162,-11.13892365456821,-12827.969336123439,115163.45505126548
WLD,2025-05-23 01:00:00+00:00,2025-05-30 01:00:00+00:00,1.524,1.24,2.1,1.1,1.36,74.79490226514682,TIMEOUT,168,-18.635170603674542,-19058.95183204035,102274.09363390667
ICP,2025-06-09 01:00:00+00:00,2025-06-10 05:00:00+00:00,5.566,6.2,6.2,5.2,1.74,60.49258463463709,TP,28,11.3905856988861,9473.005679248623,83165.22020614796
ICP,2025-06-10 06:00:00+00:00,2025-06-13 08:00:00+00:00,6.133,5.4,7.2,5.4,1.46,70.15497736200716,SL,74,-11.951736507418875,-11065.234533441226,92582.65128730568
SEI,2025-06-24 01:00:00+00:00,2025-07-01 01:00:00+00:00,0.2545,0.2846,0.342,0.23,3.57,73.2052928399104,TIMEOUT,168,11.827111984282913,9635.372340178501,81468.51364037964
BONK,2025-07-04 01:00:00+00:00,2025-07-05 06:00:00+00:00,1.713e-05,1.86e-05,1.86e-05,1.56e-05,0.97,65.15133348514988,TP,29,8.5814360770578,7813.331629715693,91049.23184831954
BONK,2025-07-05 07:00:00+00:00,2025-07-06 04:00:00+00:00,1.857e-05,2.03e-05,2.03e-05,1.67e-05,0.94,70.96011106496444,TP,21,9.316101238556804,9204.611247658146,98803.25483757914
BONK,2025-07-06 05:00:00+00:00,2025-07-06 13:00:00+00:00,2.037e-05,2.31e-05,2.31e-05,1.78e-05,1.05,76.47461469423193,TP,8,13.4020618556701,14466.597155895082,107943.07108629409
BONK,2025-07-06 20:00:00+00:00,2025-07-07 02:00:00+00:00,2.195e-05,2.31e-05,2.31e-05,1.78e-05,0.28,79.83420507143533,TP,6,5.2391799544419015,6409.415420356755,122336.233458114
FLOKI,2025-07-07 03:00:00+00:00,2025-07-10 17:00:00+00:00,8.698e-05,9.68e-05,9.68e-05,7.41e-05,0.76,63.64164748702048,TP,86,11.289951713037476,14526.601706240457,128668.41307625207
XLM,2025-07-10 18:00:00+00:00,2025-07-11 10:00:00+00:00,0.298,0.314,0.314,0.281,0.95,77.56112955372642,TP,16,5.369127516778528,7683.710639526145,143109.11066117435
ALGO,2025-07-11 13:00:00+00:00,2025-07-13 07:00:00+00:00,0.2276,0.241,0.241,0.211,0.81,78.87647455724519,TP,42,5.887521968365552,8872.634503524914,150702.35917927398
TRX,2025-07-13 08:00:00+00:00,2025-07-17 00:00:00+00:00,0.3005,0.31,0.31,0.293,1.27,75.44863209370124,TP,88,3.1613976705490874,5041.77370701903,159479.26304833865
SHIB,2025-07-17 01:00:00+00:00,2025-07-18 05:00:00+00:00,1.459e-05,1.57e-05,1.57e-05,1.34e-05,0.93,79.99769613967709,TP,28,7.607950651130908,12509.170406005444,164422.33894019775
ICP,2025-07-18 06:00:00+00:00,2025-07-24 05:00:00+00:00,6.154,5.4,7.2,5.4,1.39,79.29542090118676,SL,143,-12.252193695157613,-21664.986389142206,176825.3663644313
LTC,2025-07-24 15:00:00+00:00,2025-07-31 15:00:00+00:00,114.83,109.26,130.0,101.0,1.1,69.69178724219898,TIMEOUT,168,-4.850648785160666,-7521.769992635898,155067.29771173812
TON,2025-07-31 16:00:00+00:00,2025-08-05 08:00:00+00:00,3.557,3.3,3.8,3.3,0.95,70.24256475037002,SL,112,-7.225189766657299,-10654.049062739125,147457.01368156826
LINK,2025-08-10 14:00:00+00:00,2025-08-10 14:00:00+00:00,21.24,22.0,22.0,18.5,0.28,69.35522732969203,TP,0,3.5781544256120603,4892.08476062933,136720.89515232467
LINK,2025-08-12 06:00:00+00:00,2025-08-12 12:00:00+00:00,21.38,22.5,22.5,18.0,0.33,68.1789154221005,TP,6,5.238540692235739,7414.003173741604,141528.0248701744
TRX,2025-08-15 01:00:00+00:00,2025-08-15 15:00:00+00:00,0.3581,0.35,0.433,0.35,9.12,74.96922092420365,SL,14,-2.2619380061435344,-3366.9552568505005,148852.6762318722
ADA,2025-08-16 01:00:00+00:00,2025-08-19 18:00:00+00:00,0.9692,0.856,1.019,0.856,0.44,78.02050240632522,SL,89,-11.67973586463062,-16982.154051188976,145398.4426361516
