symbol,entry_ts,exit_ts,entry_price,exit_price,take_profit,stop_loss,raw_rr,rsi_at_entry,exit_reason,hold_hours,pnl_pct,pnl_usd,size_usd
AAVE,2025-06-06 16:00:00+00:00,2025-06-09 20:00:00+00:00,252.94,272.0,272.0,229.0,0.79,52.413716153247236,TP,76,7.5353838855064454,7533.123270340793,99970.0
UNI,2025-06-12 04:00:00+00:00,2025-06-19 04:00:00+00:00,8.091,7.739,8.7,6.4,0.36,67.4331950281528,TIMEOUT,168,-4.350512915585211,-4674.1315211005,107438.63107165968
UNI,2025-06-20 08:00:00+00:00,2025-06-21 12:00:00+00:00,7.827,6.8,8.7,6.8,0.85,61.42309644494015,SL,28,-13.121246965631789,-13475.894602315566,102702.85009963381
BTC,2025-06-24 00:00:00+00:00,2025-07-01 00:00:00+00:00,105333.94,107192.38,109400.0,96900.0,0.48,51.85455114064968,TIMEOUT,168,1.7643316104951567,1573.314966976423,89173.42735444584
AAVE,2025-07-01 04:00:00+00:00,2025-07-08 04:00:00+00:00,274.64,282.98,308.0,228.0,0.71,57.89595429498571,TIMEOUT,168,3.036702592484719,2754.055499477837,90692.30244323623
XRP,2025-07-08 08:00:00+00:00,2025-07-10 16:00:00+00:00,2.2753,2.5,2.5,2.1,1.28,59.7590734184121,TP,56,9.875620797257499,9222.871745051509,93390.29853812065
XRP,2025-07-10 20:00:00+00:00,2025-07-11 08:00:00+00:00,2.5003,2.6,2.6,2.3,0.5,77.11794042427056,TP,12,3.987521497420305,4089.267559146459,102551.6116161876
ADA,2025-07-11 16:00:00+00:00,2025-07-16 20:00:00+00:00,0.7375,0.777,0.777,0.654,0.47,78.47096858291226,TP,124,5.355932203389827,5708.1867358611025,106576.90424550799
AVAX,2025-07-17 00:00:00+00:00,2025-07-21 08:00:00+00:00,22.65,26.0,26.0,21.0,2.01,78.52265710274771,TP,104,14.790286975717445,16597.32430943351,112217.73003243847
UNI,2025-07-21 12:00:00+00:00,2025-07-21 12:00:00+00:00,10.522,11.0,11.0,9.5,0.47,75.73456123207389,TP,0,4.542862573655197,5848.380285064927,128737.77690262174
HBAR,2025-07-21 16:00:00+00:00,2025-07-23 20:00:00+00:00,0.27936,0.241,0.299,0.241,0.51,79.75543854607334,SL,52,-13.73138602520046,-18469.458116305406,134505.4176061282
ETH,2025-07-24 00:00:00+00:00,2025-07-24 12:00:00+00:00,3628.29,3760.0,3760.0,2960.0,0.2,76.5942071924545,TP,12,3.6300846955452855,4209.676663703448,115966.34835736526
UNI,2025-07-27 16:00:00+00:00,2025-08-03 16:00:00+00:00,10.748,9.16,11.5,8.5,0.34,70.77574315073623,TIMEOUT,168,-14.774841831038326,-17745.165723146118,120103.93022189832
LINK,2025-08-08 12:00:00+00:00,2025-08-09 00:00:00+00:00,19.5,20.5,20.5,17.0,0.4,66.47091477923452,TP,12,5.128205128205128,5246.018382171373,102297.35845234177
ADA,2025-08-16 08:00:00+00:00,2025-08-19 16:00:00+00:00,0.9631,0.856,1.019,0.856,0.52,77.53206371017046,SL,80,-11.120340566919321,-11952.015323633661,107478.86048731634
DOGE,2025-09-08 16:00:00+00:00,2025-09-13 08:00:00+00:00,0.2384,0.287,0.287,0.224,3.37,62.807076881752224,TP,112,20.38590604026845,19462.330243223256,95469.53765400054
AVAX,2025-09-16 00:00:00+00:00,2025-09-16 08:00:00+00:00,29.81,31.0,31.0,25.0,0.25,70.91641764259033,TP,8,3.9919490103991992,4585.269163140588,114862.91912035359
AVAX,2025-09-16 16:00:00+00:00,2025-09-17 20:00:00+00:00,30.13,31.0,31.0,25.0,0.17,72.1926913366084,TP,28,2.8874875539329605,3446.982449556894,119376.53012086103
SOL,2025-09-18 08:00:00+00:00,2025-09-18 16:00:00+00:00,244.75,250.0,250.0,213.0,0.17,71.70806735507867,TP,8,2.1450459652706844,2633.0402654308764,122749.8295169918
NEAR,2025-09-19 00:00:00+00:00,2025-09-22 04:00:00+00:00,3.176,2.8,3.4,2.8,0.6,76.54557015039235,SL,76,-11.838790931989934,-14834.910864522783,125307.65134501149
