sr_max_distance_atr,sr_sl_atr_mult,major_only,btc_rsi_floor,mt_not_downtrend,relative_volume,btc_uptrend,rsi_cap,min_token_rsi,min_confluence,min_touches,tp_cascade,min_rr,max_hold_days,cascade_skipped,n_published,n_filled,fill_rate_pct,win_rate_pct,avg_win_pct,avg_loss_pct,avg_pnl_filled_pct,expectancy_per_signal_pct,score,n_tp,n_sl,n_timeout
3.0,1.0,True,0.0,True,True,True,0.0,0.0,50.0,3,False,2.0,14,0,227,150,66.08,43.33,9.411,-6.557,0.363,0.24,2.937,60,81,9
2.0,1.0,True,50.0,False,False,False,0.0,60.0,0.0,0,False,2.0,7,0,1140,654,57.37,46.79,7.27,-5.618,0.413,0.237,6.052,220,288,135
3.0,0.5,False,50.0,True,True,True,0.0,60.0,0.0,0,True,2.0,7,10,171,118,69.01,27.12,9.81,-3.179,0.343,0.237,2.574,30,86,2
3.0,1.0,False,50.0,False,False,False,80.0,60.0,0.0,0,True,2.0,7,2031,1134,618,54.5,40.94,9.125,-5.593,0.433,0.236,5.86,89,287,229
2.0,0.5,True,0.0,True,False,False,0.0,60.0,0.0,0,True,2.0,7,264,910,525,57.69,31.24,8.179,-3.127,0.405,0.234,5.354,109,350,57
2.0,1.0,False,50.0,False,True,True,0.0,60.0,0.0,0,False,2.0,7,0,181,127,70.17,48.03,7.346,-6.152,0.331,0.232,2.617,54,64,9
3.0,1.0,False,0.0,False,False,False,80.0,60.0,0.0,0,True,2.0,7,2288,1210,660,54.55,41.36,9.126,-5.716,0.423,0.231,5.928,95,305,247
2.0,1.0,True,0.0,False,True,True,0.0,60.0,0.0,0,False,2.0,7,0,179,129,72.07,47.29,7.365,-6.006,0.317,0.228,2.595,50,64,15
3.0,1.0,True,50.0,True,True,True,0.0,60.0,0.0,0,True,2.0,7,236,155,97,62.58,37.11,10.931,-5.872,0.364,0.228,2.245,24,56,17
2.0,1.0,True,50.0,True,False,False,0.0,60.0,0.0,0,False,2.0,7,0,851,495,58.17,48.89,6.684,-5.645,0.383,0.223,4.952,185,220,79
3.0,0.5,True,50.0,True,False,False,0.0,60.0,0.0,0,False,2.0,7,0,876,477,54.45,33.96,7.136,-3.053,0.407,0.222,4.841,134,305,28
2.0,1.0,True,0.0,False,True,True,0.0,60.0,0.0,3,False,2.0,14,0,160,113,70.62,44.25,8.506,-6.188,0.313,0.221,2.353,48,62,3
2.0,1.0,True,0.0,False,True,True,0.0,60.0,50.0,3,False,2.0,14,0,160,113,70.62,44.25,8.506,-6.188,0.313,0.221,2.353,48,62,3
2.0,1.0,True,50.0,False,False,False,80.0,60.0,0.0,0,False,2.0,7,0,1096,625,57.03,46.72,7.235,-5.62,0.386,0.22,5.5,205,274,136
2.0,0.5,True,50.0,False,False,False,0.0,60.0,0.0,0,False,2.0,7,0,1140,654,57.37,32.87,7.621,-3.166,0.38,0.218,5.581,163,425,57
3.0,1.0,False,50.0,False,False,False,80.0,60.0,0.0,0,False,2.0,14,0,1165,664,57.0,45.93,8.356,-6.403,0.376,0.215,5.529,275,337,38
3.0,1.0,True,0.0,True,True,True,0.0,60.0,0.0,3,False,2.0,7,0,157,104,66.24,47.12,7.331,-5.918,0.325,0.215,2.193,40,51,13
3.0,1.0,True,0.0,True,True,True,0.0,60.0,50.0,3,False,2.0,7,0,157,104,66.24,47.12,7.331,-5.918,0.325,0.215,2.193,40,51,13
3.0,1.0,True,50.0,False,False,False,80.0,60.0,0.0,0,False,2.0,7,0,1127,603,53.5,45.61,7.468,-5.538,0.393,0.21,5.165,191,266,134
3.0,1.0,True,0.0,True,True,True,0.0,0.0,0.0,0,False,2.0,14,0,254,167,65.75,43.11,9.485,-6.632,0.317,0.208,2.691,65,92,10
3.0,0.5,True,50.0,False,False,False,0.0,60.0,0.0,0,True,2.0,7,256,1166,616,52.83,30.19,8.595,-3.156,0.392,0.207,5.141,116,414,76
2.0,0.5,True,50.0,False,False,False,0.0,60.0,0.0,0,True,2.0,7,256,1129,643,56.95,30.17,8.476,-3.147,0.36,0.205,5.194,124,434,76
3.0,0.5,True,0.0,True,True,True,0.0,0.0,0.0,0,False,2.0,7,0,254,167,65.75,30.54,8.717,-3.385,0.311,0.205,2.643,43,116,8
3.0,0.5,True,50.0,False,False,False,0.0,60.0,0.0,0,False,2.0,7,0,1177,629,53.44,32.27,7.833,-3.171,0.38,0.203,5.092,151,411,57
3.0,0.5,True,0.0,True,False,False,0.0,60.0,0.0,3,True,2.0,7,176,853,470,55.1,30.21,8.245,-3.04,0.369,0.203,4.41,91,316,55
3.0,0.5,True,0.0,True,False,False,0.0,60.0,50.0,3,True,2.0,7,176,853,470,55.1,30.21,8.245,-3.04,0.369,0.203,4.41,91,316,55
2.0,1.0,True,0.0,False,True,True,0.0,60.0,0.0,3,False,2.0,7,0,160,113,70.62,46.02,7.504,-5.872,0.284,0.2,2.129,44,57,12
2.0,1.0,True,0.0,False,True,True,0.0,60.0,50.0,3,False,2.0,7,0,160,113,70.62,46.02,7.504,-5.872,0.284,0.2,2.129,44,57,12
3.0,0.5,True,0.0,True,False,False,0.0,60.0,0.0,0,False,2.0,7,0,936,511,54.59,33.86,7.105,-3.103,0.353,0.193,4.353,139,326,36
2.0,1.0,False,50.0,True,True,True,0.0,60.0,0.0,0,False,2.0,14,0,169,120,71.01,46.67,8.077,-6.559,0.271,0.193,2.109,54,63,3
3.0,1.0,True,50.0,False,False,False,0.0,60.0,0.0,0,True,2.0,7,2483,1120,565,50.45,40.53,9.026,-5.517,0.377,0.19,4.523,75,274,206
2.0,1.0,False,50.0,False,False,False,80.0,60.0,0.0,0,False,2.0,14,0,1148,685,59.67,46.28,8.156,-6.438,0.316,0.189,4.934,285,347,41
2.0,1.0,True,0.0,True,False,False,0.0,60.0,0.0,0,False,2.0,7,0,917,531,57.91,48.96,6.689,-5.779,0.326,0.189,4.349,193,232,95
3.0,0.5,True,50.0,True,False,False,0.0,60.0,0.0,0,True,2.0,7,236,869,469,53.97,30.28,8.146,-3.034,0.351,0.189,4.098,96,317,46
2.0,0.5,False,50.0,True,False,False,0.0,60.0,0.0,0,False,2.0,7,0,886,526,59.37,33.65,7.049,-3.097,0.317,0.188,4.317,158,340,21
2.0,1.0,False,0.0,False,True,False,0.0,60.0,0.0,0,False,2.0,7,0,476,302,63.45,48.01,6.968,-5.869,0.294,0.187,3.246,114,136,45
2.0,1.0,False,0.0,False,False,False,0.0,60.0,0.0,0,False,2.0,7,0,1278,754,59.0,48.01,7.134,-5.987,0.312,0.184,5.062,280,326,139
3.0,0.5,True,0.0,False,True,False,0.0,0.0,0.0,0,False,2.0,7,0,835,514,61.56,31.32,8.389,-3.391,0.299,0.184,4.167,114,346,48
3.0,1.0,True,0.0,False,True,True,0.0,0.0,0.0,3,False,2.0,14,0,251,166,66.14,43.37,9.044,-6.436,0.278,0.184,2.37,66,90,10
3.0,1.0,True,0.0,False,True,True,0.0,0.0,50.0,3,False,2.0,14,0,251,166,66.14,43.37,9.044,-6.436,0.278,0.184,2.37,66,90,10
2.0,1.0,True,0.0,False,True,True,0.0,60.0,0.0,3,True,2.0,14,184,152,105,69.08,29.52,15.002,-5.907,0.266,0.184,1.884,28,69,8
2.0,1.0,True,0.0,False,True,True,0.0,60.0,50.0,3,True,2.0,14,184,152,105,69.08,29.52,15.002,-5.907,0.266,0.184,1.884,28,69,8
2.0,1.0,True,0.0,True,True,True,0.0,60.0,0.0,3,True,2.0,14,182,141,99,70.21,30.3,14.728,-6.028,0.262,0.184,1.829,27,64,8
2.0,1.0,True,0.0,True,True,True,0.0,60.0,50.0,3,True,2.0,14,182,141,99,70.21,30.3,14.728,-6.028,0.262,0.184,1.829,27,64,8
3.0,0.5,False,50.0,True,False,False,0.0,60.0,0.0,0,False,2.0,7,0,897,514,57.3,33.66,7.011,-3.075,0.319,0.183,4.149,152,331,23
3.0,1.0,False,50.0,True,True,True,0.0,60.0,0.0,0,True,2.0,7,198,162,104,64.2,37.5,10.545,-5.874,0.283,0.182,1.856,27,59,18
3.0,1.0,False,50.0,False,True,False,0.0,60.0,0.0,0,True,2.0,7,378,428,247,57.71,38.46,9.518,-5.438,0.314,0.181,2.852,45,131,61
3.0,0.5,True,0.0,False,True,True,0.0,0.0,0.0,0,False,2.0,14,0,293,186,63.48,27.96,9.574,-3.323,0.283,0.18,2.449,48,134,4
3.0,1.0,True,0.0,False,True,True,0.0,60.0,0.0,0,False,2.0,7,0,183,123,67.21,46.34,7.38,-5.874,0.268,0.18,1.998,47,62,14
3.0,1.0,True,50.0,True,True,True,0.0,60.0,0.0,0,False,2.0,7,0,161,107,66.46,46.73,7.484,-6.061,0.269,0.179,1.847,41,54,12
3.0,1.0,True,0.0,True,True,True,0.0,60.0,0.0,3,False,2.0,14,0,157,104,66.24,44.23,8.49,-6.253,0.268,0.178,1.811,44,57,3
3.0,1.0,True,0.0,True,True,True,0.0,60.0,50.0,3,False,2.0,14,0,157,104,66.24,44.23,8.49,-6.253,0.268,0.178,1.811,44,57,3
3.0,0.5,True,0.0,False,True,False,0.0,0.0,0.0,0,False,2.0,14,0,835,514,61.56,28.4,9.711,-3.455,0.285,0.175,3.972,128,363,17
3.0,1.0,False,0.0,True,True,True,0.0,60.0,0.0,0,False,2.0,14,0,182,127,69.78,45.67,8.167,-6.404,0.25,0.175,1.969,57,66,4
3.0,1.0,False,0.0,False,False,False,0.0,60.0,0.0,0,False,2.0,7,0,1295,734,56.68,47.14,7.223,-5.859,0.308,0.174,4.723,266,315,143
3.0,1.0,False,0.0,True,True,True,0.0,0.0,0.0,0,False,2.0,14,0,267,180,67.42,44.44,8.902,-6.658,0.258,0.174,2.331,72,95,13
2.0,1.0,False,50.0,False,False,False,0.0,60.0,0.0,0,False,2.0,7,0,1198,709,59.18,47.81,6.988,-5.842,0.293,0.173,4.609,267,311,122
3.0,0.5,False,50.0,True,True,True,0.0,60.0,0.0,0,True,2.0,14,10,171,118,69.01,26.27,9.915,-3.196,0.249,0.172,1.864,30,87,1
2.0,1.0,True,0.0,False,False,False,0.0,60.0,0.0,0,False,2.0,7,0,1219,700,57.42,46.71,7.296,-5.846,0.294,0.169,4.461,232,307,150
3.0,0.5,True,0.0,True,False,False,0.0,60.0,0.0,3,False,2.0,7,0,863,478,55.39,32.64,7.208,-3.039,0.305,0.169,3.697,121,310,40
3.0,0.5,True,0.0,True,False,False,0.0,60.0,50.0,3,False,2.0,7,0,863,478,55.39,32.64,7.208,-3.039,0.305,0.169,3.697,121,310,40
3.0,0.5,False,0.0,True,False,False,0.0,60.0,0.0,0,False,2.0,7,0,963,555,57.63,33.69,7.138,-3.186,0.292,0.168,3.967,161,356,30
2.0,1.0,False,0.0,True,True,True,0.0,0.0,0.0,0,False,2.0,14,0,262,186,70.99,44.62,8.845,-6.7,0.237,0.168,2.296,74,98,14
3.0,0.5,True,0.0,True,True,True,0.0,0.0,0.0,0,True,2.0,14,57,252,165,65.48,23.64,12.043,-3.392,0.256,0.168,2.155,35,126,4
3.0,0.5,False,0.0,True,True,True,0.0,60.0,0.0,0,True,2.0,14,12,182,127,69.78,26.77,9.861,-3.276,0.241,0.168,1.895,32,93,2
3.0,1.0,False,50.0,False,True,True,0.0,60.0,0.0,0,True,2.0,7,203,174,111,63.79,36.94,10.611,-5.802,0.261,0.166,1.752,28,65,18
3.0,1.0,False,50.0,True,True,True,0.0,60.0,0.0,0,False,2.0,7,0,171,118,69.01,47.46,7.297,-6.135,0.239,0.165,1.794,49,59,10
3.0,1.0,False,0.0,True,True,True,0.0,60.0,0.0,3,False,2.0,7,0,158,108,68.35,49.07,6.824,-6.102,0.241,0.165,1.713,45,51,12
3.0,1.0,False,0.0,True,True,True,0.0,60.0,50.0,3,False,2.0,7,0,158,108,68.35,49.07,6.824,-6.102,0.241,0.165,1.713,45,51,12
2.0,1.0,True,50.0,False,False,False,0.0,60.0,0.0,0,True,2.0,7,2483,1079,591,54.77,40.27,8.925,-5.52,0.297,0.163,3.951,80,289,212
3.0,0.5,False,0.0,False,True,False,0.0,0.0,0.0,0,False,2.0,14,0,900,547,60.78,28.52,9.589,-3.45,0.269,0.163,3.82,145,385,11
3.0,1.0,True,0.0,True,True,True,0.0,0.0,0.0,0,False,2.0,7,0,254,167,65.75,45.51,8.0,-6.227,0.248,0.163,2.103,59,79,29
2.0,1.0,True,0.0,False,True,True,0.0,60.0,0.0,0,True,2.0,7,280,169,117,69.23,36.75,10.666,-5.825,0.236,0.163,1.766,26,67,24
3.0,0.5,False,0.0,True,True,True,0.0,0.0,0.0,0,True,2.0,14,18,266,179,67.29,24.58,11.532,-3.441,0.24,0.161,2.157,40,135,4
2.0,0.5,True,50.0,True,False,False,80.0,60.0,0.0,0,False,2.0,7,0,816,474,58.09,33.54,6.896,-3.067,0.275,0.16,3.476,129,306,31
2.0,1.0,True,0.0,False,False,False,80.0,60.0,0.0,0,False,2.0,7,0,1175,678,57.7,46.76,7.258,-5.86,0.273,0.158,4.109,218,298,152
3.0,1.0,True,0.0,False,False,False,80.0,60.0,0.0,0,False,2.0,7,0,1200,651,54.25,45.93,7.39,-5.739,0.291,0.158,4.03,202,285,152
2.0,1.0,False,50.0,False,False,False,80.0,60.0,0.0,0,True,2.0,7,2031,1116,641,57.44,41.03,8.859,-5.696,0.276,0.158,4.01,90,305,234
2.0,0.5,False,50.0,True,False,False,80.0,60.0,0.0,0,False,2.0,7,0,846,509,60.17,33.01,7.074,-3.094,0.262,0.158,3.555,146,331,24
3.0,0.5,False,0.0,False,True,True,0.0,60.0,0.0,0,True,2.0,7,12,195,135,69.23,28.89,8.64,-3.189,0.228,0.158,1.837,33,96,6
2.0,0.5,True,0.0,False,False,False,0.0,60.0,0.0,0,False,2.0,7,0,1219,700,57.42,32.71,7.603,-3.289,0.274,0.157,4.165,171,457,63
3.0,0.5,False,50.0,False,False,False,0.0,60.0,0.0,0,False,2.0,7,0,1217,683,56.12,32.5,7.545,-3.221,0.278,0.156,4.083,181,446,47
2.0,0.5,True,0.0,True,False,False,0.0,60.0,0.0,3,True,2.0,7,176,837,491,58.66,29.74,8.144,-3.067,0.267,0.156,3.465,96,334,54
2.0,0.5,True,0.0,True,False,False,0.0,60.0,50.0,3,True,2.0,7,176,837,491,58.66,29.74,8.144,-3.067,0.267,0.156,3.465,96,334,54
3.0,0.5,False,0.0,False,False,False,0.0,60.0,0.0,0,False,2.0,7,0,1295,734,56.68,32.97,7.581,-3.321,0.274,0.155,4.201,196,477,52
3.0,1.0,True,0.0,False,True,False,0.0,0.0,0.0,0,False,2.0,7,0,835,514,61.56,45.33,7.886,-6.078,0.252,0.155,3.517,158,238,110
2.0,0.5,False,0.0,True,True,True,0.0,60.0,0.0,0,True,2.0,7,12,181,130,71.82,29.23,8.605,-3.252,0.214,0.153,1.748,32,92,6
3.0,0.5,True,0.0,True,False,False,0.0,60.0,0.0,0,True,2.0,7,264,931,505,54.24,30.1,8.111,-3.091,0.281,0.152,3.422,98,341,56
3.0,1.0,True,50.0,False,False,False,0.0,60.0,0.0,0,False,2.0,7,0,1177,629,53.44,45.47,7.351,-5.611,0.283,0.151,3.791,201,281,136
2.0,0.5,True,50.0,True,False,False,0.0,60.0,0.0,0,False,2.0,14,0,851,495,58.17,32.12,7.395,-3.117,0.259,0.151,3.358,148,331,7
3.0,0.5,False,0.0,True,True,True,0.0,0.0,0.0,0,False,2.0,14,0,267,180,67.42,28.33,9.447,-3.422,0.224,0.151,2.027,49,129,2
3.0,0.5,False,50.0,False,True,True,0.0,60.0,0.0,0,True,2.0,7,10,183,125,68.31,26.4,9.515,-3.114,0.221,0.151,1.684,31,92,2
2.0,1.0,True,0.0,True,True,True,0.0,60.0,0.0,0,False,2.0,7,0,167,122,73.05,47.54,7.279,-6.202,0.207,0.151,1.673,47,60,15
2.0,1.0,True,0.0,True,True,True,0.0,60.0,0.0,3,True,2.0,7,182,141,99,70.21,36.36,10.754,-5.807,0.215,0.151,1.504,23,55,21
2.0,1.0,True,0.0,True,True,True,0.0,60.0,50.0,3,True,2.0,7,182,141,99,70.21,36.36,10.754,-5.807,0.215,0.151,1.504,23,55,21
3.0,1.0,False,0.0,False,False,False,80.0,60.0,0.0,0,False,2.0,14,0,1242,714,57.49,45.66,8.444,-6.615,0.261,0.15,4.005,293,365,42
3.0,1.0,False,50.0,False,False,False,0.0,60.0,0.0,0,False,2.0,7,0,1217,683,56.12,46.71,7.104,-5.73,0.264,0.148,3.878,249,298,126
2.0,0.5,False,0.0,False,True,False,0.0,0.0,0.0,0,False,2.0,14,0,884,559,63.24,28.62,9.452,-3.465,0.232,0.147,3.473,150,393,10
3.0,0.5,False,50.0,True,False,False,0.0,60.0,0.0,0,True,2.0,7,98,894,511,57.16,29.75,8.114,-3.069,0.258,0.147,3.329,110,349,44
2.0,1.0,False,50.0,False,True,True,0.0,60.0,0.0,0,False,2.0,14,0,181,127,70.17,46.46,7.807,-6.383,0.209,0.147,1.653,57,67,3
2.0,0.5,False,0.0,True,True,True,0.0,0.0,0.0,0,False,2.0,14,0,262,186,70.99,28.49,9.315,-3.425,0.205,0.146,1.989,51,133,2
3.0,1.0,True,0.0,False,False,False,0.0,60.0,0.0,3,False,2.0,7,0,1090,610,55.96,47.38,6.874,-5.698,0.258,0.145,3.571,201,262,138
3.0,1.0,True,0.0,False,False,False,0.0,60.0,50.0,3,False,2.0,7,0,1090,610,55.96,47.38,6.874,-5.698,0.258,0.145,3.571,201,262,138
2.0,0.5,True,50.0,True,False,False,0.0,60.0,0.0,0,True,2.0,14,236,842,488,57.96,26.84,9.375,-3.098,0.25,0.145,3.206,116,352,10
3.0,0.5,True,0.0,True,True,True,0.0,60.0,0.0,0,False,2.0,7,0,171,115,67.25,31.3,7.654,-3.176,0.214,0.144,1.544,31,79,5
3.0,0.5,False,50.0,True,False,False,0.0,60.0,0.0,0,False,2.0,14,0,897,514,57.3,32.1,7.344,-3.107,0.248,0.142,3.22,157,343,6
3.0,0.5,False,0.0,False,False,False,80.0,60.0,0.0,0,False,2.0,7,0,1242,714,57.49,32.49,7.608,-3.299,0.245,0.141,3.769,182,466,55
3.0,0.5,True,0.0,False,False,False,0.0,60.0,0.0,0,False,2.0,7,0,1247,670,53.73,31.94,7.771,-3.263,0.261,0.14,3.637,158,441,61
2.0,0.5,False,0.0,True,False,False,0.0,60.0,0.0,0,False,2.0,7,0,956,568,59.41,33.45,7.133,-3.234,0.234,0.139,3.313,164,367,30
3.0,0.5,False,50.0,True,False,False,80.0,60.0,0.0,0,False,2.0,7,0,856,503,58.76,32.41,7.131,-3.072,0.234,0.138,3.088,142,328,23
3.0,0.5,False,0.0,True,False,False,0.0,60.0,0.0,3,True,2.0,7,63,877,496,56.56,29.64,8.046,-3.042,0.244,0.138,3.073,103,337,49
3.0,0.5,False,0.0,True,False,False,0.0,60.0,50.0,3,True,2.0,7,63,877,496,56.56,29.64,8.046,-3.042,0.244,0.138,3.073,103,337,49
3.0,0.5,False,50.0,False,False,False,0.0,60.0,0.0,0,True,2.0,7,101,1214,680,56.01,29.26,8.6,-3.213,0.244,0.137,3.563,137,465,69
2.0,1.0,False,0.0,False,False,False,80.0,60.0,0.0,0,True,2.0,7,2288,1192,682,57.21,41.2,8.917,-5.848,0.235,0.135,3.516,96,324,250
3.0,1.0,True,50.0,False,False,False,80.0,60.0,0.0,0,True,2.0,7,2005,1080,551,51.02,39.93,8.897,-5.473,0.264,0.135,3.167,70,267,203
2.0,0.5,True,0.0,True,False,False,0.0,60.0,0.0,3,False,2.0,7,0,847,498,58.8,32.53,7.056,-3.065,0.227,0.134,2.983,127,325,40
2.0,0.5,True,0.0,True,False,False,0.0,60.0,50.0,3,False,2.0,7,0,847,498,58.8,32.53,7.056,-3.065,0.227,0.134,2.983,127,325,40
3.0,1.0,False,0.0,False,True,False,0.0,60.0,0.0,0,True,2.0,7,433,466,275,59.01,38.55,9.545,-5.617,0.227,0.134,2.221,49,142,74
3.0,1.0,True,0.0,True,True,True,0.0,0.0,0.0,0,True,2.0,7,428,240,146,60.83,36.99,10.491,-5.808,0.22,0.134,1.62,29,75,42
3.0,0.5,True,50.0,True,False,False,0.0,60.0,0.0,0,False,2.0,14,0,876,477,54.45,31.66,7.483,-3.112,0.242,0.132,2.878,140,320,7
2.0,0.5,False,50.0,True,False,False,0.0,60.0,0.0,0,False,2.0,14,0,886,526,59.37,31.94,7.34,-3.119,0.221,0.131,3.014,162,353,4
3.0,1.0,False,0.0,False,False,False,0.0,60.0,0.0,0,True,2.0,7,2806,1259,676,53.69,40.09,9.203,-5.753,0.242,0.13,3.383,94,321,250
3.0,0.5,False,0.0,True,False,False,0.0,60.0,0.0,0,True,2.0,7,126,960,554,57.71,29.96,8.186,-3.183,0.224,0.129,3.036,117,376,53
2.0,0.5,True,50.0,True,False,False,80.0,60.0,0.0,0,True,2.0,7,146,808,466,57.67,29.83,7.935,-3.055,0.223,0.129,2.783,94,318,46
2.0,0.5,True,0.0,True,True,True,0.0,0.0,0.0,0,False,2.0,14,0,246,177,71.95,27.68,9.53,-3.401,0.179,0.129,1.713,46,128,3
2.0,1.0,False,0.0,True,True,True,0.0,0.0,0.0,3,False,2.0,14,0,222,154,69.37,44.81,8.532,-6.592,0.184,0.128,1.585,63,80,11
2.0,1.0,False,0.0,True,True,True,0.0,0.0,50.0,3,False,2.0,14,0,222,154,69.37,44.81,8.532,-6.592,0.184,0.128,1.585,63,80,11
3.0,1.0,False,50.0,False,False,False,0.0,60.0,0.0,0,True,2.0,7,2481,1184,634,53.55,39.59,9.215,-5.648,0.236,0.127,3.186,90,305,228
2.0,1.0,False,0.0,False,True,True,0.0,60.0,0.0,3,False,2.0,7,0,166,115,69.28,47.83,6.964,-6.033,0.183,0.127,1.361,47,56,12
2.0,1.0,False,0.0,False,True,True,0.0,60.0,50.0,3,False,2.0,7,0,166,115,69.28,47.83,6.964,-6.033,0.183,0.127,1.361,47,56,12
2.0,0.5,False,0.0,True,False,False,80.0,60.0,0.0,0,False,2.0,7,0,911,549,60.26,32.6,7.229,-3.187,0.209,0.126,2.952,152,358,31
2.0,1.0,True,0.0,False,False,False,0.0,60.0,0.0,0,True,2.0,7,2815,1156,637,55.1,40.66,8.931,-5.741,0.225,0.124,3.126,86,308,233
