max_slots,per_token_cap,per_slot_fraction,start_ts,n_eligible,n_taken,n_realized,n_skipped_slots,n_skipped_token_cap,initial_capital,final_equity,total_return_pct,cagr_pct,max_dd_pct,monthly_sharpe,calmar,win_rate_pct,avg_win_pct,avg_loss_pct,btc_filter
2,1,0.5,all,1242,3,1,1239,0,10000.0,10797.0,7.97,7.32,0.0,0.0,0.0,100.0,15.94,0.0,OFF
4,1,0.25,all,1242,5,1,1237,0,10000.0,10398.5,3.98,3.66,0.0,0.0,0.0,100.0,15.94,0.0,OFF
6,1,0.16666666666666666,all,1242,8,2,1234,0,10000.0,10354.76,3.55,3.26,0.0,0.0,0.0,100.0,10.64,0.0,OFF
8,1,0.125,all,1242,11,3,1231,0,10000.0,10501.8,5.02,4.61,0.0,0.0,0.0,100.0,13.38,0.0,OFF
10,1,0.1,all,1242,16,6,1226,0,10000.0,10603.36,6.03,5.54,0.0,0.0,0.0,100.0,9.97,0.0,OFF
12,1,0.08333333333333333,all,1242,22,10,1218,2,10000.0,10515.96,5.16,4.74,-0.66,-0.96,7.14,80.0,8.7,-4.02,OFF
15,1,0.06666666666666667,all,1242,27,12,1212,3,10000.0,10520.19,5.2,4.78,-0.37,0.96,12.99,83.3,8.49,-3.8,OFF
20,1,0.05,all,1242,36,16,1197,9,10000.0,10490.44,4.9,4.51,-0.68,-0.96,6.66,75.0,9.43,-3.91,OFF
2,1,0.5,all,432,7,5,425,0,10000.0,11659.48,16.59,48.29,0.0,1.55,0.0,100.0,6.29,0.0,ON
4,1,0.25,all,432,9,5,423,0,10000.0,10807.77,8.08,22.06,0.0,1.55,0.0,100.0,6.29,0.0,ON
6,1,0.16666666666666666,all,432,17,11,410,5,10000.0,10816.17,8.16,22.3,-1.99,2.06,11.21,81.8,6.67,-6.0,ON
8,1,0.125,all,432,19,11,403,10,10000.0,10161.7,1.62,4.2,-2.14,1.2,1.97,63.6,6.07,-7.38,ON
10,1,0.1,all,432,28,18,390,14,10000.0,9940.71,-0.59,-1.51,-3.3,1.74,-0.46,50.0,6.63,-7.31,ON
12,1,0.08333333333333333,all,432,33,21,384,15,10000.0,9778.52,-2.21,-5.59,-4.44,2.09,-1.26,42.9,6.63,-7.21,ON
15,1,0.06666666666666667,all,432,42,27,373,17,10000.0,9546.48,-4.54,-11.23,-6.57,-0.94,-1.71,37.0,6.43,-7.82,ON
20,1,0.05,all,432,60,40,341,31,10000.0,9360.58,-6.39,-15.6,-8.47,-0.92,-1.84,35.0,6.0,-8.19,ON
