label,timestamp,equity
A1_best_ON_single-slot,2025-05-21 00:00:00+00:00,10000.0
A1_best_ON_single-slot,2025-05-23 12:00:00+00:00,9556.514172335601
A1_best_ON_single-slot,2025-05-30 16:00:00+00:00,9409.052064951667
A1_best_ON_single-slot,2025-06-09 20:00:00+00:00,10838.685762264644
A1_best_ON_single-slot,2025-06-13 04:00:00+00:00,10683.506793894263
A1_best_ON_single-slot,2025-06-22 20:00:00+00:00,10929.21484424611
A1_best_ON_single-slot,2025-07-02 16:00:00+00:00,11305.231534106928
A1_best_ON_single-slot,2025-07-04 16:00:00+00:00,10798.868621408148
A1_best_ON_single-slot,2025-10-10 08:00:00+00:00,10798.868621408148
A2_best_slots3_tok1,2025-05-21 00:00:00+00:00,10000.0
A2_best_slots3_tok1,2025-05-23 12:00:00+00:00,9852.171390778534
A2_best_slots3_tok1,2025-05-30 16:00:00+00:00,9801.496638827746
A2_best_slots3_tok1,2025-06-09 20:00:00+00:00,10297.91752452512
A2_best_slots3_tok1,2025-06-13 04:00:00+00:00,10248.771953039488
A2_best_slots3_tok1,2025-06-22 20:00:00+00:00,10327.341840364039
A2_best_slots3_tok1,2025-07-02 16:00:00+00:00,10445.778310846004
A2_best_slots3_tok1,2025-07-04 16:00:00+00:00,10289.822350252947
A2_best_slots3_tok1,2025-10-10 08:00:00+00:00,10289.822350252947
