window_start,window_end,n_published,n_filled,fill_rate_pct,win_rate_pct,avg_win_pct,avg_loss_pct,avg_pnl_filled_pct,expectancy_per_signal_pct,n_tp,n_sl,n_timeout,n_open
2025-05-21,2025-06-20,30,27,90.0,18.52,8.548,-3.201,-1.025,-0.923,4,22,1,0
2025-06-20,2025-07-20,41,16,39.02,75.0,7.581,-3.287,4.864,1.898,12,4,0,0
2025-07-20,2025-08-19,35,23,65.71,26.09,9.932,-3.566,-0.045,-0.03,6,17,0,0
2025-08-19,2025-09-18,25,14,56.0,42.86,8.423,-2.977,1.909,1.069,5,8,1,0
2025-09-18,2025-10-18,26,24,92.31,16.67,5.429,-2.546,-1.217,-1.124,4,20,0,0
