window_start,window_end,n_published,n_filled,fill_rate_pct,win_rate_pct,avg_win_pct,avg_loss_pct,avg_pnl_filled_pct,expectancy_per_signal_pct,n_tp,n_sl,n_timeout,n_open
2025-01-19,2025-02-18,30,20,66.67,35.0,8.415,-7.259,-1.773,-1.182,4,9,7,0
2025-02-18,2025-03-20,15,7,46.67,14.29,5.888,-10.004,-7.734,-3.609,1,6,0,0
2025-03-20,2025-04-19,36,22,61.11,36.36,13.913,-6.006,1.238,0.756,8,13,1,0
2025-04-19,2025-05-19,63,24,38.1,66.67,7.0,-4.549,3.151,1.2,14,6,4,0
2025-05-19,2025-06-18,29,23,79.31,17.39,5.828,-5.955,-3.906,-3.098,2,18,3,0
2025-06-18,2025-07-18,43,15,34.88,100.0,6.199,0.0,6.199,2.163,12,0,3,0
2025-07-18,2025-08-17,31,19,61.29,31.58,8.709,-6.95,-2.005,-1.229,4,12,3,0
2025-08-17,2025-09-16,29,9,31.03,44.44,5.101,-5.219,-0.633,-0.196,4,5,0,0
2025-09-16,2025-10-16,27,23,85.19,34.78,7.491,-5.303,-0.853,-0.727,8,15,0,0
2025-10-16,2025-11-15,23,19,82.61,26.32,6.24,-6.808,-3.374,-2.787,2,13,4,0
2025-11-15,2025-12-15,19,16,84.21,56.25,5.542,-5.978,0.502,0.423,7,6,3,0
2025-12-15,2026-01-14,42,13,30.95,84.62,6.771,-5.331,4.909,1.52,10,2,1,0
2026-01-14,2026-02-13,6,6,100.0,0.0,0.0,-3.761,-3.761,-3.761,0,6,0,0
2026-02-13,2026-03-15,45,33,73.33,60.61,7.765,-3.876,3.179,2.331,10,4,19,0
2026-03-15,2026-04-14,31,19,61.29,47.37,5.113,-5.579,-0.514,-0.315,6,10,3,0
2026-04-14,2026-05-14,53,22,41.51,59.09,4.776,-1.876,2.055,0.853,7,2,8,5
