max_slots,per_token_cap,per_slot_fraction,start_ts,n_eligible,n_taken,n_realized,n_skipped_slots,n_skipped_token_cap,initial_capital,final_equity,total_return_pct,cagr_pct,max_dd_pct,monthly_sharpe,calmar,win_rate_pct,avg_win_pct,avg_loss_pct
1,1,1.0,all,157,8,7,149,0,10000.0,10398.61,3.99,10.55,-5.91,1.35,1.79,28.6,9.32,-2.68
1,2,1.0,all,157,8,7,149,0,10000.0,10398.61,3.99,10.55,-5.91,1.35,1.79,28.6,9.32,-2.68
1,3,1.0,all,157,8,7,149,0,10000.0,10398.61,3.99,10.55,-5.91,1.35,1.79,28.6,9.32,-2.68
2,1,0.5,all,157,9,7,147,1,10000.0,10089.11,0.89,2.3,-3.36,1.31,0.69,28.6,9.32,-3.22
2,2,0.5,all,157,9,7,148,0,10000.0,10230.51,2.31,6.02,-2.97,1.37,2.03,28.6,9.32,-2.68
2,3,0.5,all,157,9,7,148,0,10000.0,10230.51,2.31,6.02,-2.97,1.37,2.03,28.6,9.32,-2.68
3,1,0.3333333333333333,all,157,13,10,142,2,10000.0,10713.54,7.14,19.35,-1.82,2.51,10.61,50.0,7.75,-3.48
3,2,0.3333333333333333,all,157,13,10,144,0,10000.0,10858.78,8.59,23.54,-1.48,2.41,15.93,50.0,7.75,-2.68
3,3,0.3333333333333333,all,157,13,10,144,0,10000.0,10858.78,8.59,23.54,-1.48,2.41,15.93,50.0,7.75,-2.68
4,1,0.25,all,157,15,11,140,2,10000.0,10452.8,4.53,12.04,-1.37,2.51,8.78,45.5,7.75,-3.43
4,2,0.25,all,157,15,11,142,0,10000.0,10558.8,5.59,14.97,-1.16,2.41,12.92,45.5,7.75,-2.76
4,3,0.25,all,157,15,11,142,0,10000.0,10558.8,5.59,14.97,-1.16,2.41,12.92,45.5,7.75,-2.76
5,1,0.2,all,157,19,14,134,4,10000.0,10559.14,5.59,14.98,-1.86,2.02,8.04,42.9,8.91,-3.21
5,2,0.2,all,157,21,16,136,0,10000.0,10795.72,7.96,21.71,-1.34,2.49,16.15,50.0,7.76,-2.88
5,3,0.2,all,157,21,16,136,0,10000.0,10795.72,7.96,21.71,-1.34,2.49,16.15,50.0,7.76,-2.88
