window_start,window_end,n_published,n_filled,fill_rate_pct,win_rate_pct,avg_win_pct,avg_loss_pct,avg_pnl_filled_pct,expectancy_per_signal_pct,n_tp,n_sl,n_timeout,n_open
2025-01-19,2025-02-18,17,11,64.71,27.27,22.082,-4.018,3.1,2.006,3,8,0,0
2025-02-18,2025-03-20,6,6,100.0,0.0,0.0,-4.228,-4.228,-4.228,0,6,0,0
2025-03-20,2025-04-19,11,9,81.82,33.33,14.204,-3.073,2.686,2.198,3,6,0,0
2025-04-19,2025-05-19,58,22,37.93,72.73,7.939,-3.356,4.859,1.843,16,6,0,0
2025-05-19,2025-06-18,29,25,86.21,20.0,12.653,-3.156,0.006,0.005,4,20,1,0
2025-06-18,2025-07-18,36,14,38.89,71.43,7.472,-3.975,4.202,1.634,10,4,0,0
2025-07-18,2025-08-17,40,25,62.5,32.0,9.481,-3.548,0.621,0.388,8,17,0,0
2025-08-17,2025-09-16,25,13,52.0,30.77,11.05,-3.135,1.23,0.639,3,9,1,0
2025-09-16,2025-10-16,32,29,90.62,20.69,11.441,-2.627,0.284,0.257,6,23,0,0
2025-10-16,2025-11-15,10,7,70.0,0.0,0.0,-4.35,-4.35,-3.045,0,7,0,0
2025-11-15,2025-12-15,6,6,100.0,33.33,7.371,-5.603,-1.279,-1.279,2,4,0,0
2025-12-15,2026-01-14,29,15,51.72,53.33,4.114,-2.938,0.823,0.426,8,7,0,0
2026-01-14,2026-02-13,8,7,87.5,0.0,0.0,-2.432,-2.432,-2.128,0,7,0,0
2026-02-13,2026-03-15,17,9,52.94,22.22,9.069,-3.348,-0.589,-0.312,2,7,0,0
2026-03-15,2026-04-14,29,19,65.52,15.79,7.338,-2.863,-1.253,-0.821,3,16,0,0
2026-04-14,2026-05-14,46,24,52.17,33.33,4.674,-2.108,0.153,0.08,4,15,1,4
