max_slots,per_token_cap,per_slot_fraction,start_ts,n_eligible,n_taken,n_realized,n_skipped_slots,n_skipped_token_cap,initial_capital,final_equity,total_return_pct,cagr_pct,max_dd_pct,monthly_sharpe,calmar,win_rate_pct,avg_win_pct,avg_loss_pct,btc_filter,mode
1,1,1.0,all,399,3,2,396,0,10000.0,9076.71,-9.23,-7.12,-9.23,-0.87,-0.77,0.0,0.0,-4.73,OFF,single-slot
4,1,0.25,all,399,14,10,383,2,10000.0,11042.13,10.42,7.85,-4.65,0.76,1.69,30.0,23.71,-4.2,OFF,multi-slot(4×1)
12,1,0.08333333333333333,all,399,33,21,338,28,10000.0,10342.69,3.43,2.6,-3.24,0.61,0.8,28.6,16.76,-3.93,OFF,multi-slot(12×1)
1,1,1.0,all,157,8,7,149,0,10000.0,10398.61,3.99,10.55,-5.91,1.35,1.79,28.6,9.32,-2.68,ON,single-slot
4,1,0.25,all,157,15,11,140,2,10000.0,10452.8,4.53,12.04,-1.37,2.51,8.78,45.5,7.75,-3.43,ON,multi-slot(4×1)
12,1,0.08333333333333333,all,157,39,27,111,7,10000.0,9977.37,-0.23,-0.58,-3.01,1.99,-0.19,29.6,7.59,-3.32,ON,multi-slot(12×1)
