window_start,window_end,n_published,n_filled,fill_rate_pct,win_rate_pct,avg_win_pct,avg_loss_pct,avg_pnl_filled_pct,expectancy_per_signal_pct,n_tp,n_sl,n_timeout,n_open
2025-04-11,2025-05-11,147,56,38.1,66.07,11.297,-5.49,5.601,2.134,33,16,7,0
2025-05-11,2025-06-10,91,64,70.33,50.0,8.045,-7.48,0.282,0.199,23,28,13,0
2025-06-10,2025-07-10,83,38,45.78,44.74,6.182,-6.098,-0.604,-0.277,13,20,5,0
2025-07-10,2025-08-09,99,45,45.45,55.56,9.469,-6.304,2.459,1.118,20,18,7,0
2025-08-09,2025-09-08,73,55,75.34,54.55,6.871,-6.172,0.943,0.71,23,20,12,0
2025-09-08,2025-10-08,121,76,62.81,28.95,6.323,-4.987,-1.713,-1.076,22,50,4,0
2025-10-08,2025-11-07,78,63,80.77,23.81,7.595,-6.763,-3.344,-2.701,10,47,6,0
2025-11-07,2025-12-07,50,35,70.0,40.0,6.705,-8.73,-2.556,-1.789,11,15,9,0
2025-12-07,2026-01-06,90,52,57.78,67.31,7.691,-5.918,3.242,1.873,30,16,6,0
2026-01-06,2026-02-05,53,31,58.49,25.81,6.147,-5.434,-2.445,-1.43,7,21,3,0
2026-02-05,2026-03-07,94,71,75.53,56.34,6.677,-5.518,1.352,1.021,19,16,36,0
2026-03-07,2026-04-06,76,46,60.53,32.61,6.212,-4.622,-1.089,-0.659,10,20,16,0
2026-04-06,2026-05-06,135,62,45.93,70.97,4.975,-3.669,2.466,1.132,30,10,22,0
2026-05-06,2026-06-05,52,20,38.46,50.0,4.356,-1.248,1.554,0.598,6,1,0,13
