label,timestamp,equity
A1_best_ON_multi-slot(12×1),2025-05-21 00:00:00+00:00,10000.0
A1_best_ON_multi-slot(12×1),2025-05-24 08:00:00+00:00,10042.489417989418
A1_best_ON_multi-slot(12×1),2025-05-25 08:00:00+00:00,9968.972500696185
A1_best_ON_multi-slot(12×1),2025-05-26 00:00:00+00:00,10033.156298402351
A1_best_ON_multi-slot(12×1),2025-05-27 12:00:00+00:00,10094.945860691914
A1_best_ON_multi-slot(12×1),2025-05-30 00:00:00+00:00,10004.012187222526
A1_best_ON_multi-slot(12×1),2025-05-30 00:00:00+00:00,9951.703482052275
A1_best_ON_multi-slot(12×1),2025-05-30 16:00:00+00:00,9848.822529671323
A1_best_ON_multi-slot(12×1),2025-05-31 00:00:00+00:00,9728.012284361077
A1_best_ON_multi-slot(12×1),2025-06-01 04:00:00+00:00,9712.917180782923
A1_best_ON_multi-slot(12×1),2025-06-03 12:00:00+00:00,9835.774002046719
A1_best_ON_multi-slot(12×1),2025-06-06 00:00:00+00:00,9838.152555822766
A1_best_ON_multi-slot(12×1),2025-06-12 16:00:00+00:00,9848.236868200132
A1_best_ON_multi-slot(12×1),2025-06-13 00:00:00+00:00,9812.419710959699
A1_best_ON_multi-slot(12×1),2025-06-14 16:00:00+00:00,9766.890830192971
A1_best_ON_multi-slot(12×1),2025-06-20 00:00:00+00:00,9750.714911244304
A1_best_ON_multi-slot(12×1),2025-06-20 00:00:00+00:00,9770.966096354694
A1_best_ON_multi-slot(12×1),2025-06-21 20:00:00+00:00,9735.274865249485
A1_best_ON_multi-slot(12×1),2025-06-22 16:00:00+00:00,9646.692995572901
A1_best_ON_multi-slot(12×1),2025-06-23 20:00:00+00:00,9766.536542050777
A1_best_ON_multi-slot(12×1),2025-07-03 12:00:00+00:00,9816.365250473807
A1_best_ON_multi-slot(12×1),2025-07-09 00:00:00+00:00,9778.523565603413
A1_best_ON_multi-slot(12×1),2025-10-10 08:00:00+00:00,9778.523565603413
A2_best_slots12_tok1,2025-05-21 00:00:00+00:00,10000.0
A2_best_slots12_tok1,2025-05-24 08:00:00+00:00,10042.489417989418
A2_best_slots12_tok1,2025-05-25 08:00:00+00:00,9968.972500696185
A2_best_slots12_tok1,2025-05-26 00:00:00+00:00,10033.156298402351
A2_best_slots12_tok1,2025-05-27 12:00:00+00:00,10094.945860691914
A2_best_slots12_tok1,2025-05-30 00:00:00+00:00,10004.012187222526
A2_best_slots12_tok1,2025-05-30 00:00:00+00:00,9951.703482052275
A2_best_slots12_tok1,2025-05-30 16:00:00+00:00,9848.822529671323
A2_best_slots12_tok1,2025-05-31 00:00:00+00:00,9728.012284361077
A2_best_slots12_tok1,2025-06-01 04:00:00+00:00,9712.917180782923
A2_best_slots12_tok1,2025-06-03 12:00:00+00:00,9835.774002046719
A2_best_slots12_tok1,2025-06-06 00:00:00+00:00,9838.152555822766
A2_best_slots12_tok1,2025-06-12 16:00:00+00:00,9848.236868200132
A2_best_slots12_tok1,2025-06-13 00:00:00+00:00,9812.419710959699
A2_best_slots12_tok1,2025-06-14 16:00:00+00:00,9766.890830192971
A2_best_slots12_tok1,2025-06-20 00:00:00+00:00,9750.714911244304
A2_best_slots12_tok1,2025-06-20 00:00:00+00:00,9770.966096354694
A2_best_slots12_tok1,2025-06-21 20:00:00+00:00,9735.274865249485
A2_best_slots12_tok1,2025-06-22 16:00:00+00:00,9646.692995572901
A2_best_slots12_tok1,2025-06-23 20:00:00+00:00,9766.536542050777
A2_best_slots12_tok1,2025-07-03 12:00:00+00:00,9816.365250473807
A2_best_slots12_tok1,2025-07-09 00:00:00+00:00,9778.523565603413
A2_best_slots12_tok1,2025-10-10 08:00:00+00:00,9778.523565603413
