label,timestamp,equity
A1_best_ON_multi-slot(4×1),2025-05-21 00:00:00+00:00,10000.0
A1_best_ON_multi-slot(4×1),2025-05-23 12:00:00+00:00,9889.1285430839
A1_best_ON_multi-slot(4×1),2025-05-27 12:00:00+00:00,10074.497229952587
A1_best_ON_multi-slot(4×1),2025-05-29 16:00:00+00:00,9995.92091752327
A1_best_ON_multi-slot(4×1),2025-05-30 16:00:00+00:00,9957.77228642054
A1_best_ON_multi-slot(4×1),2025-06-09 20:00:00+00:00,10336.024173873277
A1_best_ON_multi-slot(4×1),2025-06-13 04:00:00+00:00,10299.028600712158
A1_best_ON_multi-slot(4×1),2025-06-20 00:00:00+00:00,10366.373364856574
A1_best_ON_multi-slot(4×1),2025-06-22 12:00:00+00:00,10224.275750117355
A1_best_ON_multi-slot(4×1),2025-07-02 16:00:00+00:00,10312.216612717548
A1_best_ON_multi-slot(4×1),2025-07-03 08:00:00+00:00,10568.271313896747
A1_best_ON_multi-slot(4×1),2025-07-04 16:00:00+00:00,10452.799905269623
A1_best_ON_multi-slot(4×1),2025-10-10 08:00:00+00:00,10452.799905269623
A2_best_slots10_tok1,2025-05-21 00:00:00+00:00,10000.0
A2_best_slots10_tok1,2025-05-23 12:00:00+00:00,9955.651417233561
A2_best_slots10_tok1,2025-05-27 12:00:00+00:00,10029.798891981036
A2_best_slots10_tok1,2025-05-29 12:00:00+00:00,9994.534850733893
A2_best_slots10_tok1,2025-05-29 16:00:00+00:00,9962.89289673199
A2_best_slots10_tok1,2025-05-30 00:00:00+00:00,9934.596833504833
A2_best_slots10_tok1,2025-05-30 00:00:00+00:00,9895.001643756572
A2_best_slots10_tok1,2025-05-30 16:00:00+00:00,9879.639542974941
A2_best_slots10_tok1,2025-06-03 12:00:00+00:00,10025.928864144173
A2_best_slots10_tok1,2025-06-09 20:00:00+00:00,10178.265206339947
A2_best_slots10_tok1,2025-06-10 12:00:00+00:00,10206.406672027397
A2_best_slots10_tok1,2025-06-12 20:00:00+00:00,10177.865974192631
A2_best_slots10_tok1,2025-06-13 00:00:00+00:00,10155.664726584799
A2_best_slots10_tok1,2025-06-13 00:00:00+00:00,10118.509932214
A2_best_slots10_tok1,2025-06-13 00:00:00+00:00,10083.638563883804
A2_best_slots10_tok1,2025-06-13 04:00:00+00:00,10069.066200322726
A2_best_slots10_tok1,2025-06-13 04:00:00+00:00,10043.022236928204
A2_best_slots10_tok1,2025-06-17 00:00:00+00:00,9992.535619449409
A2_best_slots10_tok1,2025-06-20 00:00:00+00:00,10019.354007518967
A2_best_slots10_tok1,2025-06-22 12:00:00+00:00,9964.206457909395
A2_best_slots10_tok1,2025-07-01 12:00:00+00:00,9933.730126460101
A2_best_slots10_tok1,2025-07-02 00:00:00+00:00,9905.388640625208
A2_best_slots10_tok1,2025-07-02 16:00:00+00:00,9939.67022427772
A2_best_slots10_tok1,2025-07-03 08:00:00+00:00,10039.486855574603
A2_best_slots10_tok1,2025-07-03 08:00:00+00:00,10084.18085072308
A2_best_slots10_tok1,2025-07-04 16:00:00+00:00,10039.660927793184
A2_best_slots10_tok1,2025-10-10 08:00:00+00:00,10039.660927793184
