max_slots,per_token_cap,per_slot_fraction,start_ts,n_eligible,n_taken,n_realized,n_skipped_slots,n_skipped_token_cap,initial_capital,final_equity,total_return_pct,cagr_pct,max_dd_pct,monthly_sharpe,calmar,win_rate_pct,avg_win_pct,avg_loss_pct,btc_filter
1,1,1.0,2025-04-01,1242,1,0,1241,0,10000.0,10000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,OFF
4,1,0.25,2025-04-01,1242,5,1,1237,0,10000.0,10398.5,3.98,3.57,0.0,0.0,0.0,100.0,15.94,0.0,OFF
1,1,1.0,2025-05-01,1143,3,2,1140,0,10000.0,9999.39,-0.01,-0.01,-5.65,0.0,-0.0,50.0,5.98,-5.65,OFF
4,1,0.25,2025-05-01,1143,10,6,1133,0,10000.0,11294.89,12.95,12.51,-3.0,0.0,4.17,66.7,16.05,-6.0,OFF
1,1,1.0,2025-06-01,1027,2,1,1025,0,10000.0,12413.35,24.13,25.61,0.0,0.0,0.0,100.0,24.13,0.0,OFF
4,1,0.25,2025-06-01,1027,10,6,1015,2,10000.0,10985.99,9.86,10.43,-2.19,1.04,4.77,83.3,9.46,-8.77,OFF
1,1,1.0,2025-07-01,963,2,1,961,0,10000.0,10369.0,3.69,4.27,0.0,0.0,0.0,100.0,3.69,0.0,OFF
4,1,0.25,2025-07-01,963,6,2,957,0,10000.0,10328.85,3.29,3.81,0.0,0.0,0.0,100.0,6.58,0.0,OFF
1,1,1.0,2025-08-01,832,1,0,831,0,10000.0,10000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,OFF
4,1,0.25,2025-08-01,832,8,4,824,0,10000.0,9480.97,-5.19,-6.6,-5.19,-1.15,-1.27,25.0,1.29,-7.47,OFF
1,1,1.0,2025-09-01,754,1,0,753,0,10000.0,10000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,OFF
4,1,0.25,2025-09-01,754,7,3,747,0,10000.0,10115.05,1.15,1.66,-0.88,0.0,1.87,33.3,8.21,-1.8,OFF
1,1,1.0,2025-10-01,671,1,0,670,0,10000.0,10000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,OFF
4,1,0.25,2025-10-01,671,6,2,665,0,10000.0,9927.81,-0.72,-1.17,-1.41,0.0,-0.83,50.0,2.8,-5.65,OFF
1,1,1.0,2025-11-01,558,4,3,554,0,10000.0,7441.07,-25.59,-42.79,-25.59,0.0,-1.67,0.0,0.0,-9.32,OFF
4,1,0.25,2025-11-01,558,18,14,537,3,10000.0,8563.43,-14.37,-25.4,-15.51,-1.41,-1.64,28.6,7.04,-8.74,OFF
1,1,1.0,2025-12-01,519,1,0,518,0,10000.0,10000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,OFF
4,1,0.25,2025-12-01,519,4,0,515,0,10000.0,10000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,OFF
1,1,1.0,2026-01-01,443,1,0,442,0,10000.0,10000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,OFF
4,1,0.25,2026-01-01,443,4,0,439,0,10000.0,10000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,OFF
1,1,1.0,2026-02-01,357,2,1,355,0,10000.0,10097.33,0.97,3.55,0.0,0.0,0.0,100.0,0.97,0.0,OFF
4,1,0.25,2026-02-01,357,12,8,343,2,10000.0,10128.28,1.28,4.7,-2.26,2.0,2.08,62.5,4.53,-5.79,OFF
1,1,1.0,2026-03-01,295,4,3,291,0,10000.0,9963.38,-0.37,-1.81,-8.05,0.0,-0.22,33.3,8.36,-4.1,OFF
4,1,0.25,2026-03-01,295,12,8,282,1,10000.0,9984.11,-0.16,-0.79,-5.05,0.0,-0.16,37.5,7.59,-4.57,OFF
1,1,1.0,2026-04-01,194,1,0,193,0,10000.0,10000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,OFF
4,1,0.25,2026-04-01,194,9,5,185,0,10000.0,10216.66,2.17,20.31,-1.62,0.0,12.58,60.0,6.62,-5.7,OFF
1,1,1.0,2025-05-01,432,1,0,431,0,10000.0,10000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,ON
4,1,0.25,2025-05-01,432,9,5,423,0,10000.0,10807.77,8.08,19.1,0.0,1.55,0.0,100.0,6.29,0.0,ON
1,1,1.0,2025-06-01,399,2,1,397,0,10000.0,12413.35,24.13,82.44,0.0,0.0,0.0,100.0,24.13,0.0,ON
4,1,0.25,2025-06-01,399,10,6,387,2,10000.0,10985.99,9.86,29.89,-2.19,1.73,13.67,83.3,9.46,-8.77,ON
1,1,1.0,2025-07-01,335,2,1,333,0,10000.0,10369.0,3.69,13.95,0.0,0.0,0.0,100.0,3.69,0.0,ON
4,1,0.25,2025-07-01,335,6,2,329,0,10000.0,10328.85,3.29,12.37,0.0,0.0,0.0,100.0,6.58,0.0,ON
1,1,1.0,2025-08-01,204,1,0,203,0,10000.0,10000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,ON
4,1,0.25,2025-08-01,204,8,4,196,0,10000.0,9480.97,-5.19,-24.18,-5.19,-2.45,-4.66,25.0,1.29,-7.47,ON
1,1,1.0,2025-09-01,128,1,0,127,0,10000.0,10000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,ON
4,1,0.25,2025-09-01,128,4,0,124,0,10000.0,10000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,ON
