window_start,window_end,n_published,n_filled,fill_rate_pct,win_rate_pct,avg_win_pct,avg_loss_pct,avg_pnl_filled_pct,expectancy_per_signal_pct,n_tp,n_sl,n_timeout,n_open
2025-05-21,2025-06-20,68,60,88.24,11.67,7.53,-3.772,-2.454,-2.165,6,53,1,0
2025-06-20,2025-07-20,97,45,46.39,53.33,8.891,-3.268,3.217,1.492,23,21,1,0
2025-07-20,2025-08-19,85,64,75.29,28.12,9.951,-3.593,0.216,0.163,18,46,0,0
2025-08-19,2025-09-18,59,40,67.8,42.5,6.464,-2.879,1.092,0.74,16,23,1,0
2025-09-18,2025-10-18,56,49,87.5,14.29,4.568,-2.561,-1.543,-1.35,7,42,0,0
