window_start,window_end,n_published,n_filled,fill_rate_pct,win_rate_pct,avg_win_pct,avg_loss_pct,avg_pnl_filled_pct,expectancy_per_signal_pct,n_tp,n_sl,n_timeout,n_open
2025-05-21,2025-07-20,71,43,60.56,39.53,7.866,-3.214,1.166,0.706,16,26,1,0
2025-06-20,2025-08-19,76,39,51.32,46.15,8.365,-3.513,1.969,1.01,18,21,0,0
2025-07-20,2025-09-18,60,37,61.67,32.43,9.178,-3.378,0.694,0.428,11,25,1,0
2025-08-19,2025-10-18,51,38,74.51,26.32,7.226,-2.669,-0.066,-0.049,9,28,1,0
2025-09-18,2025-11-17,26,24,92.31,16.67,5.429,-2.546,-1.217,-1.124,4,20,0,0
