window_start,window_end,n_published,n_filled,fill_rate_pct,win_rate_pct,avg_win_pct,avg_loss_pct,avg_pnl_filled_pct,expectancy_per_signal_pct,n_tp,n_sl,n_timeout,n_open
2025-05-21,2025-07-20,165,105,63.64,29.52,8.584,-3.629,-0.024,-0.015,29,74,2,0
2025-06-20,2025-08-19,182,109,59.89,38.53,9.345,-3.492,1.455,0.871,41,67,1,0
2025-07-20,2025-09-18,144,104,72.22,33.65,8.257,-3.355,0.553,0.399,34,69,1,0
2025-08-19,2025-10-18,115,89,77.39,26.97,5.911,-2.674,-0.359,-0.278,23,65,1,0
2025-09-18,2025-11-17,56,49,87.5,14.29,4.568,-2.561,-1.543,-1.35,7,42,0,0
