max_slots,per_token_cap,per_slot_fraction,start_ts,n_eligible,n_taken,n_realized,n_skipped_slots,n_skipped_token_cap,initial_capital,final_equity,total_return_pct,cagr_pct,max_dd_pct,monthly_sharpe,calmar,win_rate_pct,avg_win_pct,avg_loss_pct
1,1,1.0,2025-05-01,2556,5,4,2551,0,10000.0,8487.2,-15.13,-30.81,-15.13,-1.55,-2.04,0.0,0.0,-4.01
4,3,0.25,2025-05-01,2556,9,5,2545,2,10000.0,9496.79,-5.03,-10.95,-5.03,-1.55,-2.18,0.0,0.0,-4.1
1,1,1.0,2025-06-01,2395,2,1,2393,0,10000.0,9729.43,-2.71,-7.33,-2.71,0.0,-2.71,0.0,0.0,-2.71
4,3,0.25,2025-06-01,2395,12,8,2382,1,10000.0,10105.01,1.05,2.94,-1.99,1.73,1.48,25.0,9.32,-2.39
1,1,1.0,2025-07-01,2179,1,0,2178,0,10000.0,10000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4,3,0.25,2025-07-01,2179,8,4,2169,2,10000.0,10040.16,0.4,1.45,-1.45,0.0,1.0,50.0,3.71,-2.9
1,1,1.0,2025-08-01,1126,4,3,1122,0,10000.0,9223.33,-7.77,-34.16,-7.77,0.0,-4.4,0.0,0.0,-2.65
4,3,0.25,2025-08-01,1126,7,3,1119,0,10000.0,9802.24,-1.98,-9.81,-1.98,0.0,-4.96,0.0,0.0,-2.65
1,1,1.0,2025-09-01,710,1,0,709,0,10000.0,10000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4,3,0.25,2025-09-01,710,4,0,706,0,10000.0,10000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
