max_slots,per_token_cap,per_slot_fraction,start_ts,n_eligible,n_taken,n_realized,n_skipped_slots,n_skipped_token_cap,initial_capital,final_equity,total_return_pct,cagr_pct,max_dd_pct,monthly_sharpe,calmar,win_rate_pct,avg_win_pct,avg_loss_pct,btc_filter,mode
1,1,1.0,all,1242,1,0,1241,0,10000.0,10000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,OFF,single-slot
4,1,0.25,all,1242,5,1,1237,0,10000.0,10398.5,3.98,3.66,0.0,0.0,0.0,100.0,15.94,0.0,OFF,multi-slot(4×1)
12,1,0.08333333333333333,all,1242,22,10,1218,2,10000.0,10515.96,5.16,4.74,-0.66,-0.96,7.14,80.0,8.7,-4.02,OFF,multi-slot(12×1)
1,1,1.0,all,432,1,0,431,0,10000.0,10000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,ON,single-slot
4,1,0.25,all,432,9,5,423,0,10000.0,10807.77,8.08,22.06,0.0,1.55,0.0,100.0,6.29,0.0,ON,multi-slot(4×1)
12,1,0.08333333333333333,all,432,33,21,384,15,10000.0,9778.52,-2.21,-5.59,-4.44,2.09,-1.26,42.9,6.63,-7.21,ON,multi-slot(12×1)
