window_start,window_end,n_published,n_filled,fill_rate_pct,win_rate_pct,avg_win_pct,avg_loss_pct,avg_pnl_filled_pct,expectancy_per_signal_pct,n_tp,n_sl,n_timeout,n_open
2025-01-19,2025-03-20,23,17,73.91,17.65,22.082,-4.108,0.513,0.38,3,14,0,0
2025-02-18,2025-04-19,17,15,88.24,20.0,14.204,-3.651,-0.08,-0.07,3,12,0,0
2025-03-20,2025-05-19,69,31,44.93,61.29,8.928,-3.215,4.228,1.899,19,12,0,0
2025-04-19,2025-06-18,87,47,54.02,44.68,9.062,-3.202,2.277,1.23,20,26,1,0
2025-05-19,2025-07-18,65,39,60.0,38.46,9.199,-3.293,1.512,0.907,14,24,1,0
2025-06-18,2025-08-17,76,39,51.32,46.15,8.365,-3.629,1.907,0.978,18,21,0,0
2025-07-18,2025-09-16,65,38,58.46,31.58,10.004,-3.405,0.829,0.485,11,26,1,0
2025-08-17,2025-10-16,57,42,73.68,23.81,11.285,-2.77,0.577,0.425,9,32,1,0
2025-09-16,2025-11-15,42,36,85.71,16.67,11.441,-3.029,-0.617,-0.529,6,30,0,0
2025-10-16,2025-12-15,16,13,81.25,15.38,7.371,-4.806,-2.932,-2.382,2,11,0,0
2025-11-15,2026-01-14,35,21,60.0,47.62,4.766,-3.907,0.223,0.134,10,11,0,0
2025-12-15,2026-02-13,37,22,59.46,36.36,4.114,-2.685,-0.213,-0.126,8,14,0,0
2026-01-14,2026-03-15,25,16,64.0,12.5,9.069,-2.89,-1.395,-0.893,2,14,0,0
2026-02-13,2026-04-14,46,28,60.87,17.86,8.03,-3.011,-1.039,-0.633,5,23,0,0
2026-03-15,2026-05-14,75,43,57.33,25.58,5.401,-2.485,-0.468,-0.268,7,31,1,4
2026-04-14,2026-06-13,46,24,52.17,33.33,4.674,-2.108,0.153,0.08,4,15,1,4
