window_start,window_end,n_published,n_filled,fill_rate_pct,win_rate_pct,avg_win_pct,avg_loss_pct,avg_pnl_filled_pct,expectancy_per_signal_pct,n_tp,n_sl,n_timeout,n_open
2025-04-11,2025-06-10,238,120,50.42,57.5,9.788,-6.738,2.764,1.394,56,44,20,0
2025-05-11,2025-07-10,174,102,58.62,48.04,7.398,-6.932,-0.048,-0.028,36,48,18,0
2025-06-10,2025-08-09,182,83,45.6,50.6,8.139,-6.198,1.057,0.482,33,38,12,0
2025-07-10,2025-09-08,172,100,58.14,55.0,8.052,-6.23,1.625,0.945,43,38,19,0
2025-08-09,2025-10-08,194,131,67.53,39.69,6.639,-5.362,-0.598,-0.404,45,70,16,0
2025-09-08,2025-11-07,199,139,69.85,26.62,6.839,-5.823,-2.452,-1.713,32,97,10,0
2025-10-08,2025-12-07,128,98,76.56,29.59,7.165,-7.362,-3.063,-2.345,21,62,15,0
2025-11-07,2026-01-06,140,87,62.14,56.32,7.409,-7.472,0.909,0.565,41,31,15,0
2025-12-07,2026-02-05,143,83,58.04,51.81,7.404,-5.64,1.118,0.649,37,37,9,0
2026-01-06,2026-03-07,147,102,69.39,47.06,6.589,-5.482,0.198,0.138,26,37,39,0
2026-02-05,2026-04-06,170,117,68.82,47.01,6.55,-5.07,0.393,0.27,29,36,52,0
2026-03-07,2026-05-06,211,108,51.18,54.63,5.29,-4.272,0.952,0.487,40,30,38,0
2026-04-06,2026-06-05,187,82,43.85,65.85,4.861,-2.804,2.243,0.984,36,11,22,13
2026-05-06,2026-07-05,52,20,38.46,50.0,4.356,-1.248,1.554,0.598,6,1,0,13
