symbol,tier,entry_date,entry_price,stop_loss,tp_level,raw_rr,r1,r2,r3,r1_hit,r1_days,r2_hit,r2_days,r3_hit,r3_days,sl_hit,sl_days,tp_hit_before_sl,r1_hit_before_sl,r2_hit_before_sl,exit_date,exit_reason,exit_price,hold_days,pnl_r1,pnl_r2,close_d5,close_d7,close_d10,close_d14,close_d21,f_btc_rsi_floor,f_token_rsi_momentum,f_rr_min,f_di_bullish,f_adx_trend,f_mt_regime,f_bollinger,f_rvol,f_rsi_cap,btc_rsi,token_rsi,adx,di_plus,di_minus,mt_regime
XLM,top_20,2023-09-10,0.1315,0.12,0.155,2.5,0.155,0.172,0.181,False,0,False,0,False,0,True,4,False,False,False,2023-09-13,SL,0.12,4,-8.75,-8.75,0.0,0.0,0.0,0.0,0.0,False,True,True,True,False,True,False,True,True,24.3,69.2,18.7,32.27,18.24,T
FET,all,2023-09-11,0.231,0.2,0.26,1.0,0.26,0.0,0.0,False,0,False,0,False,0,False,0,False,False,False,2023-10-10,TIMEOUT,0.2043,30,-11.56,-11.56,0.2372,0.2256,0.2276,0.2154,0.2349,False,False,False,True,True,True,True,False,True,46.51,50.91,22.71,21.52,21.16,U
PAXG,top_20,2023-09-16,1909.0,1871,1950,1.03,1950,0.0,0.0,False,0,False,0,False,0,True,13,False,False,False,2023-09-28,SL,1871,13,-1.99,-1.99,1920.0,1912.0,1908.0,0.0,0.0,True,False,False,False,False,True,True,True,True,63.21,48.65,16.46,17.21,18.23,T
INJ,all,2023-09-16,7.252,6.7,7.75,0.91,7.75,8.7,9.3,True,15,False,0,False,0,False,0,True,True,False,2023-10-15,TIMEOUT,7.807,30,6.87,7.65,7.439,7.187,7.103,7.554,7.833,True,True,False,True,False,True,False,False,True,63.21,69.02,12.17,24.4,17.55,T
AAVE,all,2023-09-17,59.17,56.0,65.5,2.0,65.5,71.0,75.5,True,4,True,15,False,0,False,0,True,True,True,2023-10-16,TIMEOUT,64.79,30,10.7,19.99,62.5,62.97,61.12,67.56,66.74,True,True,True,True,True,True,False,True,True,63.04,65.78,27.32,31.55,19.94,T
BTC,top_3,2023-09-19,26762.5,25200,29200,1.56,29200,31800,0.0,True,28,False,0,False,0,False,0,True,True,False,2023-10-18,TIMEOUT,28320.0,30,9.11,5.82,26575.96,26304.81,27021.39,27494.51,27590.12,True,True,True,True,False,True,False,False,True,67.09,67.09,17.71,25.27,18.13,T
LINK,selected,2023-09-19,6.566,6.15,7.04,1.12,7.04,7.4,8.0,True,2,True,7,True,10,False,0,True,True,True,2023-10-18,TIMEOUT,7.356,30,7.22,12.7,7.189,7.494,7.807,7.47,7.276,True,False,False,True,False,True,False,True,True,67.09,58.8,18.46,30.18,18.44,T
ATOM,all,2023-09-19,7.379,6.84,7.8,0.78,7.8,8.5,9.0,False,0,False,0,False,0,True,17,False,False,False,2023-10-05,SL,6.84,17,-7.3,-7.3,7.085,7.039,7.106,7.144,0.0,True,True,False,True,True,True,False,True,True,67.09,64.39,37.66,22.93,18.76,T
LTC,top_20,2023-09-20,67.28,63.5,79.5,3.23,79.5,82.0,85.5,False,0,False,0,False,0,True,1,False,False,False,2023-09-20,SL,63.5,1,-5.62,-5.62,0.0,0.0,0.0,0.0,0.0,True,True,True,False,True,True,False,False,True,72.32,62.18,36.9,21.67,23.77,T
STX,all,2023-09-20,0.4919,0.46,0.53,1.33,0.53,0.584,0.626,False,0,False,0,False,0,True,5,False,False,False,2023-09-24,SL,0.46,5,-6.49,-6.49,0.4642,0.0,0.0,0.0,0.0,True,False,True,True,False,True,False,False,True,72.32,58.4,16.83,21.39,20.8,T
ALGO,all,2023-09-21,0.1003,0.09,0.111,1.1,0.111,0.115,0.1265,False,0,False,0,False,0,True,28,False,False,False,2023-10-18,SL,0.09,28,-10.27,-10.27,0.0977,0.0957,0.1033,0.0993,0.0951,True,True,False,True,True,True,False,True,True,71.7,70.3,20.89,19.99,17.59,T
WLD,all,2023-09-23,1.605,1.38,2.25,2.95,2.25,0.0,0.0,False,0,False,0,False,0,False,0,False,False,False,2023-10-22,TIMEOUT,1.633,30,1.74,1.74,1.797,1.728,1.641,1.653,1.486,True,True,True,True,True,True,False,False,True,67.06,75.17,35.37,28.58,11.96,T
LTC,top_20,2023-09-24,65.06,56.0,82.0,1.87,82.0,85.5,94.0,False,0,False,0,False,0,False,0,False,False,False,2023-10-23,TIMEOUT,69.02,30,6.09,6.09,65.21,65.97,65.5,65.45,61.62,True,True,True,False,True,True,True,False,True,59.88,61.14,31.03,19.17,24.27,T
APT,all,2023-09-26,5.5662,5.32,5.8,0.92,5.8,6.02,6.77,False,0,False,0,False,0,True,1,False,False,False,2023-09-26,SL,5.32,1,-4.42,-4.42,0.0,0.0,0.0,0.0,0.0,False,True,False,True,True,True,False,True,True,41.79,68.07,30.19,26.39,17.68,T
ETH,top_3,2023-09-29,1653.0,1607,1729,1.65,1729,1808,0.0,True,3,False,0,False,0,True,7,True,True,False,2023-10-05,SL,1607,7,4.6,-2.78,1656.88,1611.79,0.0,0.0,0.0,True,False,True,False,True,True,False,True,True,55.45,55.07,35.98,20.04,21.93,T
SOL,top_3,2023-09-29,19.97,19.1,22.0,2.37,22.0,23.9,0.0,True,3,True,3,False,0,False,0,True,True,True,2023-10-28,TIMEOUT,31.63,30,10.17,19.68,23.6,22.7,23.22,21.28,24.93,True,False,True,True,False,True,False,False,True,55.45,55.3,10.68,19.26,17.38,T
BNB,selected,2023-09-29,215.0,206.2,221.3,0.72,221.3,235,0.0,True,4,False,0,False,0,True,11,True,True,False,2023-10-09,SL,206.2,11,2.93,-4.09,213.5,210.6,211.4,0.0,0.0,True,False,False,True,False,True,True,False,True,55.45,47.31,15.1,19.73,18.95,T
XRP,top_20,2023-09-29,0.5097,0.49,0.528,0.9,0.528,0.558,0.634,True,1,False,0,False,0,True,11,True,True,False,2023-10-09,SL,0.49,11,3.59,-3.87,0.539,0.5227,0.5174,0.0,0.0,True,False,False,False,False,True,True,False,True,55.45,55.01,18.53,15.84,21.13,T
FIL,all,2023-09-29,3.312,2.95,3.45,0.39,3.45,4.16,4.42,True,3,False,0,False,0,False,0,True,True,False,2023-10-28,TIMEOUT,3.735,30,4.17,12.77,3.309,3.258,3.394,3.21,3.191,True,False,False,False,True,True,True,False,True,55.45,47.92,22.55,16.49,20.93,T
ARB,all,2023-09-29,0.8927,0.82,1.04,2.14,1.04,1.13,1.18,False,0,False,0,False,0,True,11,False,False,False,2023-10-09,SL,0.82,11,-8.14,-8.14,0.9053,0.8572,0.8466,0.0,0.0,True,True,True,True,True,True,False,False,True,55.45,64.67,34.14,22.63,19.6,T
STX,all,2023-09-29,0.4845,0.428,0.53,0.96,0.53,0.584,0.626,True,4,True,18,True,22,False,0,True,True,True,2023-10-28,TIMEOUT,0.655,30,9.39,20.54,0.4888,0.4944,0.5039,0.4868,0.5691,True,False,False,False,False,True,False,True,True,55.45,51.61,13.64,17.4,19.04,T
UNI,all,2023-10-01,4.456,4.1,4.64,0.5,4.64,4.87,5.28,True,1,False,0,False,0,True,9,True,True,False,2023-10-09,SL,4.1,9,4.13,-7.99,4.306,4.374,0.0,0.0,0.0,False,False,False,False,True,True,False,False,True,45.96,59.32,25.71,15.84,16.1,T
APT,all,2023-10-01,5.4876,5.03,5.83,0.74,5.83,6.2,6.7,False,0,False,0,False,0,True,9,False,False,False,2023-10-09,SL,5.03,9,-8.34,-8.34,5.22,5.276,0.0,0.0,0.0,False,True,False,True,True,True,False,False,True,45.96,66.48,26.49,24.36,14.73,T
AVAX,top_20,2023-10-02,9.75,9.25,10.9,2.3,10.9,11.2,12.4,False,0,False,0,False,0,True,1,False,False,False,2023-10-02,SL,9.25,1,-5.13,-5.13,0.0,0.0,0.0,0.0,0.0,True,True,True,True,True,True,False,False,True,78.68,78.75,39.78,21.88,19.16,T
SUI,selected,2023-10-02,0.5071,0.484,0.56,1.92,0.56,0.6,0.736,False,0,False,0,False,0,True,1,False,False,False,2023-10-02,SL,0.484,1,-4.56,-4.56,0.0,0.0,0.0,0.0,0.0,True,True,True,True,True,True,False,True,False,78.68,80.53,23.94,27.76,14.99,T
DOT,all,2023-10-02,4.264,4.1,4.42,1.0,4.42,4.54,4.82,False,0,False,0,False,0,True,1,False,False,False,2023-10-02,SL,4.1,1,-3.85,-3.85,0.0,0.0,0.0,0.0,0.0,True,True,False,True,True,True,False,False,True,78.68,76.09,38.27,18.92,17.04,T
NEAR,selected,2023-10-02,1.161,1.11,1.21,1.0,1.21,1.34,1.46,False,0,False,0,False,0,True,1,False,False,False,2023-10-02,SL,1.11,1,-4.39,-4.39,0.0,0.0,0.0,0.0,0.0,True,True,False,True,False,True,False,False,True,78.68,62.41,18.75,20.3,16.56,T
ICP,all,2023-10-02,3.305,3.16,3.49,1.2,3.49,3.65,4.05,False,0,False,0,False,0,True,1,False,False,False,2023-10-02,SL,3.16,1,-4.39,-4.39,0.0,0.0,0.0,0.0,0.0,True,True,True,True,True,True,False,False,False,78.68,82.27,24.02,25.66,15.38,T
